arxiv_id	bucket	year	citations	surveys	topics	score	title
1512.03385	canon	2015	236149	37	0	60.873	Deep Residual Learning for Image Recognition
2005.14165	canon	2020	61951	29	0	48.292	Language Models are Few-Shot Learners
1810.04805	canon	2019	119293	26	1	44.077	BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding
1706.03762	canon	2017	188425	25	0	42.775	Attention is All you Need
1409.1556	canon	2014	113406	21	1	36.555	Very Deep Convolutional Networks for Large-Scale Image Recognition
1910.10683	canon	2019	26897	21	1	35.930	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer
1405.0312	canon	2014	54635	20	0	34.738	Microsoft COCO: Common Objects in Context
1409.4842	canon	2014	47810	20	0	34.680	Going deeper with convolutions
1506.01497	canon	2015	74760	19	0	33.374	Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks
1608.06993	canon	2016	44354	19	0	33.147	Densely Connected Convolutional Networks
1502.03167	canon	2015	47459	18	0	31.676	Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift
2201.11903	canon	2022	20943	18	1	31.321	Chain of Thought Prompting Elicits Reasoning in Large Language Models
1910.13461	canon	2019	13098	18	0	31.118	BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension
1505.04597	canon	2015	99787	16	0	28.999	U-Net: Convolutional Networks for Biomedical Image Segmentation
1506.02640	canon	2015	47427	16	0	28.676	You Only Look Once: Unified, Real-Time Object Detection
2203.02155	canon	2022	23280	16	1	28.367	Training language models to follow instructions with human feedback
2302.13971	canon	2023	21198	16	0	28.326	LLaMA: Open and Efficient Foundation Language Models
2204.02311	canon	2022	8268	16	1	27.918	PaLM: Scaling Language Modeling with Pathways
1411.4038	canon	2014	42604	15	0	27.130	Fully convolutional networks for semantic segmentation
1409.0473	canon	2014	29851	15	0	26.975	Neural Machine Translation by Jointly Learning to Align and Translate
2307.09288	canon	2023	17898	15	1	26.753	Llama 2: Open Foundation and Fine-Tuned Chat Models
1311.2901	canon	2013	17295	15	0	26.738	Visualizing and Understanding Convolutional Networks
1409.0575	canon	2014	43280	14	1	25.636	ImageNet Large Scale Visual Recognition Challenge
1512.00567	canon	2015	31661	14	1	25.501	Rethinking the Inception Architecture for Computer Vision
1504.08083	canon	2015	28911	14	0	25.461	Fast R-CNN
2103.00020	canon	2021	53840	13	1	24.231	Learning Transferable Visual Models From Natural Language Supervision
1907.11692	canon	2019	30871	13	1	23.990	RoBERTa: A Robustly Optimized BERT Pretraining Approach
1311.2524	canon	2013	29361	13	0	23.968	Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation
1612.03144	canon	2016	27803	13	0	23.944	Feature Pyramid Networks for Object Detection
2005.11401	canon	2020	16973	13	1	23.730	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks
1611.05431	canon	2016	11844	13	0	23.574	Aggregated Residual Transformations for Deep Neural Networks
1510.00149	canon	2015	10319	13	0	23.514	Deep Compression: Compressing Deep Neural Network with Pruning, Trained Quantization and Huffman Coding
2009.03300	canon	2020	9151	13	0	23.462	Measuring Massive Multitask Language Understanding
2205.11916	canon	2022	7767	13	1	23.391	Large Language Models are Zero-Shot Reasoners
2010.11929	canon	2020	67815	12	2	22.831	An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale
1709.01507	canon	2017	35738	12	0	22.553	Squeeze-and-Excitation Networks
1704.04861	canon	2017	25707	12	0	22.410	MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications
1503.02531	canon	2015	25550	12	1	22.408	Distilling the Knowledge in a Neural Network
1606.00915	canon	2016	21426	12	1	22.331	DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs
1610.02357	canon	2016	18265	12	1	22.262	Xception: Deep Learning with Depthwise Separable Convolutions
1511.06434	canon	2015	15220	12	2	22.183	Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks
2210.03629	canon	2022	10118	12	2	22.006	ReAct: Synergizing Reasoning and Acting in Language Models
1412.6980	canon	2014	169714	11	0	21.730	Adam: A Method for Stochastic Optimization
2205.01068	canon	2022	4897	12	1	21.691	OPT: Open Pre-trained Transformer Language Models
2210.11416	canon	2022	4354	12	0	21.640	Scaling Instruction-Finetuned Language Models
1707.06347	canon	2017	30103	11	0	20.979	Proximal Policy Optimization Algorithms
2005.12872	canon	2020	19437	11	0	20.789	End-to-End Object Detection with Transformers
1602.07261	canon	2016	15694	11	0	20.696	Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning
